"","L1B.r1","L1B.r2","L1B_benomyl.r1","L1B_benomyl.r2","L4C.r1","L4C.r2","L4C_benomyl.r1","L4C_benomyl.r2","U10D.r1","U10D.r2","U10D_benomyl.r1","U10D_benomyl.r2","U3B.r1","U3B.r2","U3B_benomyl.r1","U3B_benomyl.r2","U3E.r1","U3E.r2","U3E_benomyl.r1","U3E_benomyl.r2","U5C.r1","U5C.r2","U5C_benomyl.r1","U5C_benomyl.r2"
"CLUG_02945T0",1188,807,348,539,1812,1966,745,675,1057,1277,561,876,1833,1758,359,523,1605,1729,1037,1008,1693,1569,627,893
"CLUG_02946T0",865,466,1298,1283,1152,1293,2169,1141,688,755,1075,981,762,719,1926,1938,788,863,377,361,888,839,380,650
"CLUG_02947T0",36,0,83,101,0,1,37,60,0,0,13,24,0,13,101,174,0,31,21,4,0,0,9,12
"CLUG_02948T0",66,42,107,109,162,133,127,91,64,152,83,82,280,435,215,276,180,259,153,136,209,230,63,70
"CLUG_02949T0",1187,901,146,202,2064,2250,144,177,1196,1544,190,154,1649,1489,54,159,1559,1382,539,618,1608,1633,331,322
"CLUG_02950T0",357,246,315,279,585,613,162,310,361,529,181,317,510,465,501,898,523,524,62,72,532,482,141,173
"CLUG_02951T0",356,261,64,71,598,704,21,46,371,447,32,41,621,515,18,144,492,497,30,60,646,598,20,17
"CLUG_02952T0",22,1,90,88,3,2,47,106,0,1,60,108,4,11,191,331,5,25,10,11,2,4,52,63
"CLUG_02953T0",601,348,463,533,675,749,811,682,500,544,413,649,682,609,1015,991,530,646,569,812,928,1022,404,607
"CLUG_02954T0",2627,2261,1964,3183,3453,3518,3670,4168,2462,2884,1769,3294,2897,2499,4496,4689,2953,2764,3533,4938,3277,3262,2546,3442
"CLUG_02955T0",261,155,1487,2208,375,332,3387,5507,179,227,1032,2559,253,330,9608,9930,321,478,1013,898,364,366,2277,3442
"CLUG_02956T0",405,388,37,50,847,711,47,58,383,616,61,53,462,464,44,41,505,569,57,73,499,500,26,41
"CLUG_02957T0",1198,1069,78,115,1465,1557,239,147,1026,1221,153,110,1586,1435,59,63,1259,1252,372,438,1424,1477,312,427
"CLUG_02958T0",1028,844,437,567,1667,1613,791,784,996,1246,882,1386,1648,1417,797,642,1486,1244,1121,1555,1497,1351,1343,1512
"CLUG_02959T0",1176,1722,275,432,3011,2650,723,649,1200,2318,563,872,5804,12713,2026,1000,3989,4910,1102,4009,2754,3607,1442,5050
"CLUG_02960T0",340,194,103,79,610,655,50,85,318,423,72,91,392,562,93,163,456,544,149,109,410,434,24,26
"CLUG_02961T0",318,305,243,250,647,823,486,732,396,588,287,577,1231,1337,1490,1064,842,891,402,661,942,1046,709,984
"CLUG_02962T0",502,367,89,105,890,807,65,83,495,530,115,111,688,515,43,103,661,555,232,277,677,585,85,108
"CLUG_02963T0",4059,4094,752,876,6531,7002,491,727,5503,5971,978,1029,4460,3815,897,1174,4630,3834,1374,1720,5534,5331,851,628
"CLUG_02964T0",10,5,10,6,11,18,0,11,10,6,12,15,5,6,16,51,18,6,6,1,12,5,9,9
"CLUG_02965T0",2,1,9,1,3,1,0,5,4,2,1,0,0,1,1,3,1,2,3,2,6,7,0,0
"CLUG_02966T0",26788,11897,987,1510,31014,31612,1487,1616,22051,24534,1657,1625,33821,31369,527,668,26152,24394,2979,2520,29082,29452,404,384
"CLUG_02967T0",2835,2135,492,536,5677,5503,553,478,3513,4814,905,773,5429,5026,333,407,4984,4351,2100,1875,4286,4974,701,590
"CLUG_02968T0",31933,13033,17708,18073,46724,60204,12937,9546,5807,6615,3569,2545,24586,20944,6662,6429,4858,4042,4699,5798,12228,13069,1397,1769
"CLUG_02969T0",1265,886,359,436,2208,2400,345,284,1212,1852,538,507,2834,2250,175,194,2623,1957,1082,1470,3045,2642,472,463
"CLUG_02970T0",3782,3307,407,405,5613,6363,489,463,3866,4078,494,410,2842,2003,271,419,2863,2997,172,206,3297,3351,141,73
"CLUG_02971T0",1379,937,549,553,2288,2968,789,863,1585,2208,816,1181,2358,2839,542,741,2718,2696,839,1348,2685,3174,1776,2108
"CLUG_02972T0",5,3,17,15,4,8,12,9,1,7,2,9,1,6,36,56,5,7,5,1,10,9,13,7
"CLUG_02973T0",52.272639316627,42.1362393386305,98.7545640627347,69.5432186680362,179.159243962025,161,42.7435207378228,76.6380849768987,75,124.673601442847,87.2681844606818,125.026223835568,381.709978301551,378.470400429777,240.313964607917,327.615436920232,327.881378917557,213.02688406267,30,26.2554915342307,247.475896327592,299.144377395658,54.9907066044936,30
"CLUG_02974T0",1.72736068337299,2.8637606613695,2.96517701256764,2.42370367696071,0.0400436731155059,0,1.6570257012953,0.361915023101274,0,3.32639855715309,8.05929898546417,9.76763698698278e-06,5.29002169844951,0,0,21.5230543872408,0.118621082442755,6.92289394485609,0,0.744508465769332,1.59814121967424,23.8556226043421,1.1672803272893,0
"CLUG_02975T0",0,0,9.28025892469769,6.03307765500312,5.80071236485944,0,8.59945356088187,0,0,0,20.672516553854,15.9737663967947,0,2.52959957022349,10.6860353920828,41.8615086925272,0,3.05022199247435,0,0,1.92596245273345,0,2.84201306821714,0
"CLUG_02976T0",16722,10027,3114,4046,19947,25989,4217,4063,19147,17945,5079,4518,16806,12429,1177,1321,16412,14258,7699,6664,17721,18619,2467,2535
"CLUG_02977T0",435,338,79,95,632,845,81,124,487,563,101,78,359,390,100,151,473,580,27,30,524,597,59,91
"CLUG_02978T0",2006,1063,1788,2396,2582,3884,3373,3964,5554,3962,3587,4824,4364,3802,4788,3628,3969,2793,3740,3845,5420,5195,2731,4054
"CLUG_02979T0",1127,642,278,347,1556,1921,412,420,1302,1335,491,520,1554,807,439,488,1322,901,829,740,2142,1696,821,629
"CLUG_02980T0",1637,1720,195,242,2662,2999,101,186,1915,2364,164,186,2125,1902,110,266,2457,2007,314,236,2420,2310,73,93
"CLUG_02981T0",3339,5247,465,484,3849,3743,477,584,3032,3444,599,721,4655,3686,492,752,4153,3393,1750,1811,4792,4625,982,230
"CLUG_02982T0",866,1159,49,74,1188,979,80,91,835,914,86,78,1245,1045,47,57,1044,919,137,145,1184,1222,36,33
"CLUG_02983T0",822,822,199,175,1463,1313,225,249,809,1118,150,246,1446,1462,261,349,1382,1243,117,194,1807,1770,58,89
"CLUG_02984T0",3354,2156,209,293,6404,7587,247,479,4698,5043,388,348,4484,3570,195,246,5625,4295,455,425,5702,5626,138,145
"CLUG_02985T0",2149,1877,4317,5217,3328,3299,7497,5241,2044,2335,4767,5138,3396,2902,5040,4643,2681,2732,4077,4506,3886,3745,4030,4608
"CLUG_02986T0",469,613,191,262,915,859,369,273,616,840,303,373,1306,1142,248,219,911,708,377,592,853,847,347,497
"CLUG_02987T0",28778,20048,11047,13872,36902,40974,16564,13564,28540,31074,18808,24854,34715,25570,8202,7726,30258,25389,21301,27027,29145,26943,15517,18932
"CLUG_02988T0",1551,11,976,1338,22,20,73,159,6,10,58,142,16,800,130,760,10,1105,1066,29,10,16,21,136
"CLUG_02989T0",1591,1131,849,860,2312,3015,1751,1418,1558,1988,703,751,1486,1897,1132,1521,1957,2095,757,587,2131,2191,573,763
"CLUG_02990T0",1495,906,785,1002,1891,1895,999,1116,1578,1641,1452,1750,1890,1992,755,791,1696,2107,1868,1727,1535,1579,679,789
"CLUG_02991T0",1767,881,172,295,4946,4524,430,491,2055,3083,276,509,2799,2366,484,459,3284,2221,288,467,2907,2729,165,163
"CLUG_02992T0",72,63,20,8,191,175,32,35,92,136,28,30,150,118,14,42,143,85,6,18,177,178,13,6
"CLUG_02993T0",2438,1707,2907,3318,3985,4857,6582,5482,2364,3343,2242,3332,3712,4099,7312,6594,3759,3396,976,1366,4189,4364,1961,2458
"CLUG_02994T0",684,552,891,1011,1340,1247,2201,1064,608,825,843,864,1155,897,1471,1064,905,805,427,505,1468,1272,463,395
"CLUG_02995T0",2962,2252,2772,3395,4756,4899,4497,3455,2587,3322,2669,3402,3972,3842,3190,3425,3626,3898,2803,3060,5015,4867,2228,2891
"CLUG_02996T0",632,627,279,176,1777,1659,276,508,830,1476,250,311,1079,945,517,507,1152,892,119,198,877,912,114,161
"CLUG_02997T0",933,719,240,334,1693,1883,705,624,906,1301,341,470,1612,1237,487,384,1600,1239,357,615,1551,1456,459,507
"CLUG_02998T0",4944,3538,2043,2417,8762,8593,3003,2981,4716,6423,3550,4839,5835,4993,1931,2047,5574,5362,5583,6765,5122,5275,5220,6160
"CLUG_02999T0",3500,2640,438,593,6203,6009,658,539,3592,4587,1024,960,4930,4418,309,379,4731,4158,2047,2030,4419,4374,755,781
"CLUG_03000T0",8113,3899,730,1024,11944,13929,1227,1140,7666,8962,1136,1069,5720,5103,151,161,6235,6872,1907,1595,5055,6251,240,161
"CLUG_03001T0",517,251,118,120,531,561,76,93,427,583,87,106,180,392,92,120,249,555,202,67,402,539,82,77
"CLUG_03002T0",1817,1212,347,422,2576,2474,333,348,1532,2041,483,508,2337,2668,186,265,2113,2711,1108,1005,2301,2414,652,843
"CLUG_03003T0",1154,1335,220,267,2044,2063,454,525,1228,1718,434,592,1949,1726,397,371,1808,1587,543,834,1894,2045,763,765
"CLUG_03004T0",218,286,469,540,486,538,483,1048,298,395,430,693,400,363,781,976,381,393,271,338,398,468,180,239
"CLUG_03005T0",1155,1104,726,731,2438,2378,1598,1608,1299,1839,617,889,1431,1153,2190,1726,1635,1208,472,633,1447,1184,304,453
"CLUG_03006T0",481,288,66,63,650,717,78,92,368,422,53,57,444,426,60,102,393,458,111,116,455,382,61,67
"CLUG_03007T0",264,205,86,108,525,575,167,218,286,356,102,154,440,376,138,183,433,391,131,174,457,411,55,89
"CLUG_03008T0",318,244,40,50,847,800,44,53,363,495,52,47,656,555,10,27,669,464,112,100,620,519,45,36
"CLUG_03009T0",111,58,91,70,332,295,43,90,127,170,60,113,257,273,145,216,240,224,28,24,220,211,68,45
"CLUG_03010T0",508,277,132,127,1070,926,134,207,352,579,126,172,894,914,236,312,883,796,73,91,861,744,91,102
"CLUG_03011T0",287,265,54,71,522,476,107,137,308,438,86,126,439,343,135,176,365,369,38,52,420,406,65,50
"CLUG_03012T0",704,538,50,64,1271,1351,75,89,725,943,64,54,880,697,24,55,962,798,23,37,1122,865,15,15
"CLUG_03013T0",413,275,94,100,786,783,137,143,447,572,106,133,614,478,165,179,653,456,30,40,564,535,67,62
"CLUG_03014T0",4659.09861640448,2525.49182250483,2277.73339670665,3048.3023491646,4707.66689516987,5159.00750173847,4821.00224724028,4308.79325144648,3506.80510208146,4318.20551703527,3551.52046121091,6336.9076092531,12027.4426356151,14257.1813166065,2559.70673264626,1948.61728052739,8008.6607086066,8357.78328476964,6274.11336271462,8785.04567917731,11379.7042096803,11868.7831816352,10946.0595611184,16090.444832577
"CLUG_03015T0",3516,1825,1267,1457,3827,3880,2481,1709,2813,3655,2352,3587,8879,11263,1205,1009,6534,6480,4420,5786,9034,8459,6228,8169
"CLUG_03016T0",42,4,31,53,4,8,14,11,4,3,5,12,6,87,26,46,3,44,57,11,8,6,7,57
"CLUG_03017T0",273,113,90,115,693,693,89,104,352,459,97,98,545,860,47,41,639,1136,122,66,652,762,24,48
"CLUG_03018T0",12,3,4,17,5,2,3,18,1,1,10,31,2,16,11,33,4,28,11,3,6,10,4,10
"CLUG_03019T0",1929,1394,109,133,3136,3684,219,176,2725,2399,151,132,2835,2208,67,79,2606,2325,116,201,2404,2573,56,66
"CLUG_03020T0",1420,1196,69,124,3667,4384,144,151,1820,2509,140,140,2091,1870,22,75,2246,1784,98,126,2265,2347,30,34
"CLUG_03021T0",3710,1831,215,338,4363,4503,286,177,3003,3768,485,360,3312,3218,66,84,3272,3590,812,585,2885,2973,138,123
"CLUG_03022T0",547,365,125,182,809,895,225,186,475,719,247,273,1839,2594,343,206,1152,1265,448,748,1339,1444,353,544
"CLUG_03023T0",867,545,186,251,1228,1397,222,364,666,1048,299,443,1151,1188,280,344,1207,1239,459,613,1422,1421,758,879
"CLUG_03024T0",2908,2253,839,1076,5372,4637,1507,1171,2731,4119,1507,2125,5842,6316,613,442,4745,4510,3126,4344,5411,5545,4075,4563
"CLUG_03025T0",1379,932,88,132,2494,2310,135,134,1305,1802,136,102,1740,1585,43,89,1700,1571,46,79,1624,1653,31,25
"CLUG_03026T0",531,319,90,131,768,926,99,147,464,581,137,161,621,622,195,245,645,653,174,225,695,687,476,486
"CLUG_03027T0",221,135,10,32,287,273,22,22,166,186,15,9,221,210,25,25,186,202,18,30,201,250,18,12
"CLUG_03028T0",10,0,23,7,2,3,6,24,0,0,11,17,1,5,58,97,2,5,2,1,2,2,14,7
"CLUG_03029T0",3176,1074,205,241,5027,6171,336,390,3131,3661,323,327,4306,4193,780,757,4850,3835,366,456,4634,4218,193,196
"CLUG_03030T0",438,316,95,125,502,581,192,146,302,373,142,130,477,431,75,58,402,404,222,260,638,525,241,154
"CLUG_03031T0",190,127,123,149,387,356,197,265,165,255,75,215,356,332,432,422,313,380,89,108,395,335,102,117
"CLUG_03032T0",826,728,38,71,1470,1489,77,61,769,960,59,58,1137,961,53,37,1104,936,68,108,1193,1064,50,58
"CLUG_03033T0",2027,1763,239,236,5878,4756,217,278,1831,3397,243,219,4000,4035,361,432,4129,3172,69,178,4326,4140,71,47
"CLUG_03034T0",5410,4697,840,948,8931,9391,1090,919,5888,6929,1309,1345,6332,5524,1330,1436,6149,5798,1907,1817,6622,6090,482,433
"CLUG_03035T0",20,18,6,15,13,24,38,33,18,21,22,38,26,11,5,7,27,16,57,91,14,23,82,54
"CLUG_03036T0",1009,863,125,166,1924,2039,361,304,1015,1388,223,282,1523,1236,165,142,1545,1188,410,618,1636,1414,582,548
"CLUG_03037T0",1417,1191,156,197,2375,2007,287,219,1332,1627,247,257,1628,1297,63,73,1763,1431,496,632,1518,1273,188,209
"CLUG_03038T0",1628,1321,143,193,4113,4091,238,357,2018,2775,215,289,2983,2533,120,136,2992,2160,434,558,2981,3075,266,271
"CLUG_03039T0",1,1,1,4,2,1,1,1,1,3,0,4,0,0,0,0,0,2,4,0,0,0,4,7
"CLUG_03040T0",2,1,8,11,4,5,8,24,4,3,19,17,0,2,14,12,2,4,12,60,5,1,19,26
"CLUG_03041T0",289,191,26,50,572,614,47,38,278,433,21,34,434,323,17,14,409,326,16,31,377,366,12,4
"CLUG_03042T0",428,229,69,70,770,757,194,186,380,445,71,113,499,434,223,209,499,434,28,34,574,631,43,53
"CLUG_03043T0",406,180,31,32,560,651,39,29,306,375,30,26,472,466,17,21,424,401,6,14,420,435,15,10
"CLUG_03044T0",799,492,126,170,1033,1336,208,192,755,1043,205,283,1301,1716,89,93,1167,1612,367,389,1641,1743,375,526
"CLUG_03045T0",118,63,14,28,241,250,18,21,134,202,29,20,190,127,0,63,223,162,33,35,194,169,6,13
"CLUG_03046T0",4468,5148,263,337,11665,9667,289,514,5518,9409,363,395,6082,5550,536,600,7454,7710,280,389,6358,6431,283,301
"CLUG_03047T0",792,760,45,77,1670,1309,90,80,789,1264,57,70,1171,860,29,39,1136,979,42,44,1117,997,28,23
"CLUG_03048T0",700,512,39,64,725,709,108,58,553,625,26,49,505,456,26,20,494,515,105,126,493,471,28,47
"CLUG_03049T0",712,526,55,76,1410,1320,72,80,694,923,67,73,988,847,89,130,989,892,31,48,911,860,44,34
"CLUG_03050T0",951,834,122,149,1666,1513,223,195,967,1211,172,170,1258,1171,211,205,1323,1079,208,295,1363,1051,98,157
"CLUG_03051T0",501,324,192,290,952,1209,402,586,564,820,377,482,784,685,161,129,934,766,479,796,936,984,1786,1538
"CLUG_03052T0",307,136,86,99,453,491,203,230,262,356,96,158,421,340,287,202,364,333,152,240,431,431,123,183
"CLUG_03053T0",8848,4662,4381,5780,9693,10075,6822,6435,5807,7319,5310,8378,12761,15883,6581,4929,9660,10350,8472,9088,13244,12961,14856,16964
"CLUG_03054T0",4095,3476,588,701,7036,8220,874,853,4593,5109,604,606,6061,5078,812,630,5888,5179,599,824,5978,6286,788,845
"CLUG_03055T0",989,738,205,211,2619,2695,305,397,1105,1707,229,317,2021,1809,411,450,2117,1520,171,330,2376,2292,472,452
"CLUG_03056T0",1007,957,82,127,1786,1811,120,137,989,1351,143,104,1495,1305,39,66,1279,1168,100,147,1399,1488,47,43
"CLUG_03057T0",707,461,95,146,1182,1205,134,213,644,794,108,184,1266,1110,153,177,1066,988,220,277,992,931,161,199
"CLUG_03058T0",1033,897,112,145,1824,1646,98,159,972,1482,115,176,1360,1460,63,84,1502,1528,255,241,1414,1382,73,85
"CLUG_03059T0",271,216,2376,2837,744,857,1394,3671,342,523,2567,3773,585,614,2385,3541,567,454,2699,3360,762,737,3368,3944
"CLUG_03060T0",2581,1730,18710,23668,5811,6499,25723,31684,2757,3828,20930,30056,4881,5010,22384,25783,4786,4013,22763,30375,6684,5947,29007,29196
"CLUG_03061T0",1466,728,8136,10679,2142,2318,20528,13926,1023,1361,7431,10925,1992,2107,10862,10125,1801,1803,10603,12501,2472,2203,12096,11713
"CLUG_03062T0",877,559,110,155,1529,1614,272,223,719,1101,124,190,1286,1314,97,201,1331,1206,184,249,1349,1182,389,419
"CLUG_03063T0",546,543,99,126,1214,1240,49,65,644,892,63,65,878,683,54,390,973,763,57,57,952,886,37,29
"CLUG_03064T0",11740,10988,1277,1588,10619,10713,1514,956,7486,8202,1762,1679,10740,6183,611,981,8696,5941,4851,5583,10745,8457,3152,2801
"CLUG_03065T0",20958,15266,12326,15044,23773,18758,19100,14703,13466,15344,13996,18627,27953,27311,9586,9318,16044,13869,24259,27907,20054,19211,21761,25586
"CLUG_03066T0",8,4,3,3,14,9,0,15,13,13,3,9,9,2,11,33,11,3,4,0,11,3,10,6
"CLUG_03067T0",2384,1650,503,650,3701,3723,1432,896,2232,3225,1145,1894,8895,8046,542,316,6115,4483,2002,3979,8910,8481,3619,4430
"CLUG_03068T0",636,453,229,257,1255,1677,323,592,764,1104,394,654,1698,1662,166,173,1789,1548,379,630,1832,1793,748,697
"CLUG_03069T0",1398,1083,545,641,1499,1749,534,424,1206,1326,704,780,1397,1253,286,270,1317,1267,893,974,1626,1637,1003,999
"CLUG_03070T0",6109,5947,5976,7906,4858,6120,11507,16608,5121,5081,5691,10722,8435,8386,12265,11074,5455,3676,15110,17200,7546,8978,21644,20227
"CLUG_03071T0",1277,1049,94,163,3000,2929,156,211,1579,2190,149,165,2169,1783,176,231,2248,1646,260,303,2133,1893,229,192
"CLUG_03072T0",727,728,145,211,2346,2198,271,285,1082,1571,217,152,2455,2088,20,66,2293,1556,88,201,1872,1954,89,49
"CLUG_03073T0",1006,786,108,156,1774,1668,154,195,886,1064,151,191,1750,1818,78,103,1323,1292,360,482,1639,1463,160,166
"CLUG_03074T0",10,4,14,11,9,5,45,31,7,7,13,30,11,12,67,53,12,12,18,11,10,9,44,55
"CLUG_03075T0",378,245,14,27,1587,1381,28,37,585,951,40,26,805,733,48,67,983,727,23,36,762,707,64,53
"CLUG_03076T0",963,683,61,76,2940,2717,99,124,1222,1944,100,78,1781,1592,82,93,2117,1525,64,81,1806,1522,138,129
"CLUG_03077T0",110,83,16,20,70,63,7,10,87,101,34,14,135,143,11,3,82,116,18,13,127,137,12,12
"CLUG_03078T0",2720,2211,107,130,5584,4540,155,180,2943,3751,186,193,3125,3153,110,155,3442,2921,509,642,3416,3258,161,182
"CLUG_03079T0",997,600,88,113,2564,2064,165,155,939,1497,166,134,2211,2233,121,89,1899,1827,58,115,1726,1640,47,60
"CLUG_03080T0",1175,682,50,59,2826,2652,85,105,1192,1804,81,77,2279,1874,29,58,2460,1594,215,262,1981,1752,142,65
"CLUG_03081T0",1972,1444,72,118,3103,3236,138,111,2235,2501,137,121,2252,1908,41,38,2661,2058,104,139,2657,2669,37,58
"CLUG_03082T0",272,132,23,34,418,425,21,26,276,290,28,29,384,326,25,50,354,293,9,16,407,379,15,6
"CLUG_03083T0",2872,1785,659,903,4006,4173,2320,1716,2890,3849,1452,2461,9780,9057,1051,587,6626,4648,2480,4756,10735,10585,5269,8036
"CLUG_03084T0",1094,1029,1117,1239,2548,2530,2106,1565,1313,1726,1441,2068,3011,2178,2032,1509,2277,1858,1175,1567,2862,2890,1646,1506
"CLUG_03085T0",925,766,73,88,1613,1562,96,116,872,1065,97,162,1394,1131,41,39,1299,1013,276,416,1461,1337,250,199
"CLUG_03086T0",5789,4241,312,450,8970,11146,603,761,5712,6719,479,492,5709,4241,507,446,5471,4346,458,791,4229,4211,1215,1103
"CLUG_03087T0",7110,11592,912,1367,13746,8519,2271,2231,6927,12374,2098,3945,10852,11486,2699,1066,11604,9448,4029,8194,12382,11099,7898,9914
"CLUG_03088T0",5086,5157,813,950,7399,8382,1030,1071,6801,7664,1228,1480,7759,5857,375,434,7133,5737,1553,1943,6872,7129,939,841
"CLUG_03089T0",7760,5276,2046,2437,10506,10838,5590,3545,7882,10436,4896,7171,24364,24341,2192,1472,17241,13775,7455,13457,23675,24320,15339,18394
"CLUG_03090T0",66,5,12,18,1,4,2,7,5,4,0,3,7,91,6,26,2,78,30,8,3,6,6,24
"CLUG_03091T0",694,526,1155,1541,1557,1377,1746,2256,672,1116,2382,4622,1598,1508,2115,2493,1518,1328,2638,3344,1200,1009,3292,3039
"CLUG_03092T0",5006,5032,1174,1349,8681,8398,982,1565,5957,7782,2104,2867,7773,7082,1036,1266,7513,6673,4194,4232,6984,7078,2645,2430
"CLUG_03093T0",21,15,2,4,38,13,0,4,7,21,2,2,13,21,3,4,11,9,4,6,21,22,2,2
"CLUG_03094T0",239,349,16,28,505,244,33,30,185,397,31,14,401,525,39,40,400,437,6,15,305,283,18,28
"CLUG_03095T0",2959,2388,344,519,5117,3983,363,562,2862,4075,636,726,4202,4393,360,378,4053,4706,820,880,3721,3377,477,610
"CLUG_03096T0",2319,2268,256,330,4664,4543,243,459,3300,3848,492,618,3473,3484,311,320,3512,3219,637,918,3180,3249,322,420
"CLUG_03097T0",721,1397,186,270,2631,1216,350,397,613,1808,355,747,2176,4944,311,183,2568,2945,542,1974,1411,1983,605,1390
"CLUG_03098T0",1726,1659,49,82,1980,1930,52,77,1930,2222,73,61,1986,1536,43,52,2070,1508,53,89,2252,2673,49,40
"CLUG_03099T0",63,3,3,9,2,1,1,0,3,2,0,3,10,42,0,7,4,50,2,6,8,7,1,1
"CLUG_03100T0",635,672,23,39,1109,947,80,38,706,980,30,33,1051,875,22,28,817,701,29,36,841,854,16,10
"CLUG_03101T0",437,306,34,51,1089,994,70,58,523,727,92,120,677,514,34,37,684,560,161,211,602,573,110,113
"CLUG_03102T0",415,247,65,112,736,747,147,126,357,509,122,101,2088,1994,86,71,1037,1020,191,428,1225,1154,48,62
"CLUG_03103T0",79,10,21,17,73,76,38,32,34,21,10,7,23,39,24,23,20,31,12,5,16,13,14,22
"CLUG_03104T0",13814,8006,9080,11598,15525,18071,10875,10279,11813,11845,12969,13045,16127,11132,9236,8375,10688,8242,15029,19215,12814,12221,22881,16869
"CLUG_03105T0",228,173,298,238,440,384,337,260,214,294,256,249,424,378,512,755,331,321,19,45,454,440,71,62
"CLUG_03106T0",3577,3081,358,474,13032,11707,320,685,5604,8105,754,709,11255,9296,254,377,8314,5838,879,1028,9026,9873,241,237
"CLUG_03107T0",6,1,77,56,1,0,33,67,0,0,31,48,1,24,83,225,0,12,6,0,0,2,8,11
"CLUG_03108T0",947,652,1266,1261,1662,1762,2200,1377,870,1188,1120,1269,1190,936,2566,2778,1232,959,339,344,1263,1090,590,578
"CLUG_03109T0",545,446,144,152,1115,1137,89,113,568,800,85,146,942,771,58,142,967,773,170,212,973,785,143,144
"CLUG_03110T0",783,612,2876,3204,1307,1524,3309,2580,930,1040,2517,2902,1029,963,2287,2912,1028,1172,910,875,1587,1505,887,1078
"CLUG_03111T0",190,137,170,263,353,367,251,354,189,279,337,631,413,310,116,166,366,357,324,379,384,340,315,323
"CLUG_03112T0",2926,2850,1140,1419,4904,5870,2067,3089,3199,5095,2285,4525,5215,6526,653,741,5927,5551,2593,4269,6418,6970,5759,6149
"CLUG_03113T0",19791,8967,6815,10080,38045.8941818686,60519.9134090025,10936,12726,11351,11399,11515,15711.9953533772,18179,17771.99827191,1622,2060,10616,10211,54284,61101,29666,30173.9931752159,4196,3866
"CLUG_03114T0",0,0,6,10,2,0,2,7,0,1,1,4,0,0,0,9,0,0,5,5,0,0,3,7
"CLUG_03115T0",1683,1604,537,770,3751,3925,1449,2152,2401,2778,1055,1424,2605,2466,421,489,3285,2276,3198,3520,2922,2783,1903,1496
"CLUG_03116T0",6036,3838,5046,6207,7260,7762,11161,10273,5319,6623,8733,14416,18388,18416,8860,6003,12676,11224,9139,12692,18335,17688,20083,24098
"CLUG_03117T0",490,378,826,558,772,904,867,1495,512,603,763,908,617,513,1613,1968,626,542,217,125,672,539,443,366
"CLUG_03118T0",312,250,31,50,383,430,66,39,271,314,58,43,380,382,19,29,380,316,108,96,446,444,41,50
"CLUG_03119T0",330,228,302,272,499,636,402,612,327,352,276,367,652,477,642,695,596,440,272,313,639,512,357,297
"CLUG_03120T0",291,168,122,133,466,460,230,221,281,315,162,226,457,413,207,238,424,390,261,418,458,439,293,362
"CLUG_03121T0",2775,1952,372,564,4144,3787,628,581,2292,3020,604,588,3535,3329,227,227,3270,3297,1469,1618,3148,2850,628,803
"CLUG_03122T0",1013,667,1227,1025,1682,1908,2891,2769,1003,1270,1008,1154,2303,1898,2848,2504,1946,1501,387,593,2173,2049,799,866
"CLUG_03123T0",1474,816,122,146,2400,2489,137,146,1469,1835,114,129,1752,1543,45,239,2053,1609,66,71,2121,1901,46,37
"CLUG_03124T0",7559,6398,265569,299687,10654,11358,450159,314876,7088,7738,272366,273286,8697,6912,243322,206570,8549,7746,267218,309976,7944,5998,310969,302879
"CLUG_03125T0",14881,8792,4826,5788,14932,16002,9907,6766,11704,13441,6201,6073,33586,41889,2523,2420,23768,25811,23150,23398,30561,30470,27517,21629
"CLUG_03126T0",203,98,47,47,539,522,29,70,204,324,48,31,425,350,91,141,402,295,10,23,378,345,20,15
"CLUG_03127T0",561,395,113,158,868,1021,196,289,538,865,190,303,886,984,96,207,1035,963,312,480,1144,1200,283,314
"CLUG_03128T0",192,140,136,146,363,417,24,38,207,269,25,21,285,233,35,401,331,293,44,11,277,277,10,17
"CLUG_03129T0",973,338,119,218,1461,1467,120,85,800,953,204,150,1637,1825,80,242,1414,1281,753,742,1417,1306,104,166
"CLUG_03130T0",3429,3686,4022,4244,3118,2604,2725,2531,3091,3904,3830,4188,4537,4555,5389,6293,4036,3968,4951,7593,6245,6440,7208,7531
"CLUG_03131T0",2038,1621,1328,1575,3013,2644,2519,2225,1851,2493,1637,2064,2133,2143,2168,2231,2183,2050,3802,4735,1984,1757,3417,4377
"CLUG_03132T0",1923,2767,156,194,6116,4097,199,301,3020,5463,215,227,867,953,140,157,1725,1500,475,819,1148,1191,204,362
"CLUG_03133T0",153,100,14,22,416,364,28,22,178,223,19,29,261,169,25,12,302,162,18,35,317,229,18,13
"CLUG_03134T0",220,113,14,18,315,345,24,31,135,189,16,23,231,186,25,24,212,224,21,28,232,216,12,15
"CLUG_03135T0",1109,842,44,69,2849,2519,69,95,1281,1984,70,47,1830,1279,65,98,1980,1422,57,109,1582,1563,56,48
"CLUG_03136T0",204,176,18,27,431,414,54,28,179,282,28,23,354,226,49,37,246,275,23,38,311,277,17,27
"CLUG_03137T0",1599,1246,297,366,2687,2772,463,380,1673,2063,589,593,4772,5459,1009,795,3056,2542,1081,1681,3517,3417,1412,1045
"CLUG_03138T0",6927,6857,1213,1305,7736,9161,1211,962,7800,8034,1575,1272,5915,3733,792,770,5214,4024,2228,1819,4386,5476,1826,1411
