,DHED1.r1,DHED10.r1,DHED11.r1,DHED12.r1,DHED13.r1,DHED14.r1,DHED15.r1,DHED16.r1,DHED17.r1,DHED18.r1,DHED19.r1,DHED2.r1,DHED20.r1,DHED21.r1,DHED22.r1,DHED23.r1,DHED24.r1,DHED3.r1,DHED4.r1,DHED5.r1,DHED6.r1,DHED7.r1,DHED8.r1,DHED9.r1
CLUG_04720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_01805,1654,279,2380,260,1622,156,1430,179,2108,166,1735,203,292,2450,151,2245,121,2416,238,3442,227,3142,260,2422
CLUG_01804,186,50,386,30,281,13,173,44,352,57,397,19,57,350,30,256,20,181,28,366,20,341,48,299
CLUG_01807,5895,99,5793,189,4716,220,7242,265,6532,289,6078,304,206,7242,133,9696,110,7527,294,6405,247,5680,246,6492
CLUG_01806,2221,3331,4954,4879,1720,1028,2523,1540,3942,845,4797,2358,801,3599,1640,3440,2928,4929,3781,6360,2156,4149,2659,5359
CLUG_01801,3316,3464,3916,4016,2374,2423,1437,3261,5358,3680,4818,4205,3825,3825,2540,4024,2447,3075,8148,3734,4017,4458,4561,3804
CLUG_01800,1549,1222,3108,1071,2274,483,2557,527,3018,664,3800,659,1086,2914,415,2742,348,2119,848,2700,453,2560,595,2766
CLUG_01803,1258,446,2148,526,1641,331,654,363,1920,1614,2364,310,1469,1914,811,1606,642,1696,398,2701,466,2756,551,1932
CLUG_01802,20645,5828,21035,6635,20355,3269,18332,3740,29303,6259,26934,3295,6426,37003,2975,35668,2537,22744,3589,28102,4359,32163,4598,23850
CLUG_01809,266,133,615,117,414,79,250,76,715,96,777,104,113,526,87,535,74,421,79,736,87,729,102,495
CLUG_01808,495,105,986,90,622,53,435,79,831,30,787,40,57,716,14,815,34,765,79,995,62,912,76,718
CLUG_03098,3695,120,3022,189,3472,106,3133,165,3708,80,3081,143,120,4232,105,5072,89,4244,117,3810,89,3698,136,3930
CLUG_03099,6,0,21,24,9,2,9,2,12,0,30,3,2,10,0,12,0,10,5,15,0,8,52,12
CLUG_03090,6036,3316,11390,5591,7707,538,11838,863,10773,757,15147,1121,485,10944,4204,10651,6364,12828,2136,15001,1341,6943,1180,10917
CLUG_03091,1258,5039,2475,6079,1287,2375,955,3113,2949,3779,2815,4308,5051,2204,6107,1867,5662,2107,8560,2844,3168,2514,4175,2836
CLUG_03092,11663,8754,13761,8221,10590,2592,9837,2992,15140,2259,14540,4121,3032,13614,5355,13748,4946,15167,5614,16958,1933,16379,3071,14609
CLUG_03093,227,131,309,190,215,36,264,51,395,75,290,74,87,401,143,364,125,397,136,504,52,341,64,402
CLUG_03094,343,10,812,26,494,37,626,65,718,73,992,63,97,543,36,499,59,684,20,903,58,440,65,708
CLUG_03095,5526,1686,9514,1680,6077,706,4608,1083,8081,714,8787,1242,810,7156,922,6517,1172,7871,1425,9943,701,7728,1097,7861
CLUG_03096,6027,1311,6281,1597,4595,536,4120,690,6308,567,6559,890,716,5836,579,5895,766,6943,1118,8382,418,8293,823,6422
CLUG_03097,2180,1038,5986,3394,2594,376,3614,547,4909,611,9734,710,374,3814,1090,5041,2483,4213,1362,5449,654,3213,757,5342
CLUG_03278,5054,3769,9876,3023,5437,2176,3264,2538,8104,2916,11499,2177,3496,7764,2037,8931,2305,6301,2653,7707,2109,8087,2370,6686
CLUG_03279,251,192,267,221,271,206,244,266,569,525,395,169,562,332,220,450,242,236,250,260,454,439,542,298
CLUG_03274,7928,325,4120,466,2905,206,2332,242,2383,121,2215,495,80,3758,63,6033,46,6812,531,5500,81,9238,334,5106
CLUG_03275,81,98,143,84,115,25,59,34,148,62,154,39,30,121,18,185,28,110,58,140,51,175,71,138
CLUG_03276,35,0,60,27,0,30,0,33,72,12,61,24,24,39,0,58,7,38,37,0,16,50,17,22
CLUG_03277,620,428,1939,321,972,587,574,569,1163,372,1762,445,594,1338,128,1468,144,913,527,1235,494,1025,385,1095
CLUG_03270,1553,650,2796,939,1368,483,1596,731,1419,3280,1624,643,2716,2692,1143,3891,1301,2653,965,4045,1281,3188,1498,1985
CLUG_03271,3418,3164,4262,3533,3295,1288,3216,1504,4393,2561,4096,2035,2577,4341,3264,4265,3600,4396,2681,4931,1056,5378,1699,4395
CLUG_03272,14,0,42,0,30,6,23,6,33,6,36,0,6,40,0,18,0,48,4,41,6,39,0,24
CLUG_03273,10,4,12,2,2,8,12,0,10,4,30,0,4,12,2,32,2,12,6,27,0,25,2,6
CLUG_02053,6871,2250,6417,2934,5981,724,3773,1235,11760,2742,9489,1619,3244,7652,2780,8729,2725,7678,2662,10553,1080,10356,1325,8732
CLUG_02052,6873,47,4164,56,10437,53,4974,56,896,77,771,66,130,718,60,1141,70,6793,60,3507,40,3121,61,2367
CLUG_02051,894,120,1008,120,784,158,319,113,902,171,1299,154,181,762,183,1084,257,946,104,943,130,1047,168,694
CLUG_02050,2985,455,2647,394,2911,263,2068,312,2551,247,2177,418,366,3865,288,3916,261,3561,361,4003,270,5056,317,2723
CLUG_02057,17173,22990,20788,29018,12315,13427,8899,17399,22646,26600,23801,16807,29123,23159,24235,25606,28370,16476,29530,17141,21574,20354,28275,19334
CLUG_02056,194,220,407,128,221,550,191,412,430,1388,407,206,1738,523,561,450,533,302,367,449,1095,406,940,317
CLUG_05007,4,4,4,12,6,104,8,61,0,315,0,60,415,1,61,2,79,10,111,16,95,14,206,6
CLUG_05006,515,151,399,323,1339,321,595,323,127,725,79,221,634,1244,228,1416,367,297,239,2206,781,2588,453,405
CLUG_05009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_05008,77,87,233,90,65,248,65,200,150,975,169,255,973,241,165,336,173,188,347,228,341,352,412,303
CLUG_02059,2941,3609,4054,4156,3254,1721,2139,2298,4529,2159,4167,2041,1998,4530,2774,4028,2921,3567,2710,4482,2907,4794,2302,4209
CLUG_02058,368,342,544,456,374,275,190,372,597,835,530,304,863,527,547,517,660,451,470,669,535,626,491,646
CLUG_01638,1751,476,2431,727,1437,346,1108,468,2991,1339,2696,395,1173,2675,850,2533,633,2646,443,5010,690,4147,606,2835
CLUG_01187,3252,271,2652,324,3006,1183,1949,930,2228,1841,2123,868,2887,2569,349,2553,525,4134,1199,4586,1014,4924,1657,2713
CLUG_00583,3514,5912,4575,9408,3765,2305,2936,3372,7572,4752,5899,4442,3015,7165,8487,6349,9286,5193,7092,6925,4631,6182,4621,5717
CLUG_00582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_02224,2223,4208,4415,6977,2548,2935,1869,3504,10365,12293,13875,3180,7971,5255,4469,5243,5035,2773,4147,3502,3962,3895,3100,4538
CLUG_00853,504,311,515,371,534,104,398,126,500,90,402,152,125,543,282,442,202,568,192,700,126,857,104,544
CLUG_00580,6384,1193,5335,1279,4774,641,6746,758,3590,951,3025,883,1169,4438,1237,5188,1411,8895,1098,9013,1021,8281,1345,5384
CLUG_00587,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,186,0,100
CLUG_00586,1177,397,1550,451,1319,350,931,451,1522,1331,1324,408,1435,1435,800,1464,885,1496,581,2338,542,1913,902,1305
CLUG_00585,506,85,512,155,517,120,308,128,766,391,524,160,469,689,375,574,294,608,194,1084,191,1025,256,647
CLUG_00584,3759,1928,3521,2261,4249,587,3473,739,3974,787,3339,912,837,4125,1665,3681,1343,5316,984,6237,423,6175,551,3984
CLUG_05838,845,2446,1847,2189,1107,1272,798,1774,1596,1065,1476,1446,1339,1429,1811,1443,1742,1258,2434,1899,1992,1684,1977,1472
CLUG_00589,8153,19264,4866,23865,6480,7681,4434,9679,5575,12558,3812,9449,11318,6224,25968,7110,25496,7549,8095,8425,15076,11109,11914,5936
CLUG_05839,744,830,1742,1383,759,481,532,526,3720,882,4467,489,783,2489,858,2512,1121,1088,901,1318,832,1344,699,2215
CLUG_05917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_05916,0,1,0,2,0,1,1,1,1,3,1,0,2,0,2,0,1,0,7,1,3,0,5,1
CLUG_05915,2681,1429,2541,1519,2741,1495,1594,2062,3448,2164,2545,1438,2136,3013,1783,3565,2196,2072,2440,3105,2582,4557,2706,2806
CLUG_02634,4699,8410,8286,8821,5907,3760,3551,4468,11622,6571,11392,5108,6982,8422,8102,7669,9053,6467,7487,9728,6579,9044,5337,9832
CLUG_05913,40427,62380,42888,68613,38259,35005,35525,44022,45324,47858,41000,43561,51716,44314,55211,40239,56795,48984,59644,56360,26001,59618,41309,45969
CLUG_05836,1267,1647,2806,2171,1497,860,1004,977,3643,1065,4517,895,1128,2778,1236,2970,1577,1697,1087,2071,894,2159,913,2396
CLUG_05912,1863,9129,4389,12031,2551,7268,1641,8496,4364,21828,5576,7545,15811,4096,15284,4880,19055,2975,11549,3378,32205,3701,27660,3837
CLUG_02289,21,63,11,118,17,74,235,0,686,295,902,48,265,38,163,13,167,217,93,525,32,289,159,361
CLUG_02631,1197,968,1518,829,1353,236,819,308,1830,160,1588,351,270,1618,893,1465,773,1515,310,2157,334,2110,241,1648
CLUG_02630,239,244,560,210,474,252,236,266,412,367,450,209,653,812,335,777,321,309,319,403,295,446,317,432
CLUG_04068,1060,1002,2206,1785,956,360,900,419,3445,880,4575,630,703,3188,1900,3385,2686,1576,847,1641,561,2325,763,2491
CLUG_04069,1504,828,1766,915,1227,222,2092,314,1860,158,1807,317,278,1583,636,1517,661,1986,352,2116,346,2122,490,1978
CLUG_04060,2777,1528,4208,2521,2788,620,1984,889,7243,551,6511,788,460,6057,1911,5791,2218,3484,1099,4397,1605,4500,1010,4898
CLUG_04061,539,639,945,1019,478,423,351,486,910,382,959,567,317,1007,1884,1184,1722,856,749,973,900,1157,901,966
CLUG_04062,17928,6768,10258,7727,17566,2368,10398,3081,14731,2338,8958,2793,2574,12855,4594,10957,3028,15173,3728,21223,3246,33916,4105,14533
CLUG_04063,3506,4502,2974,6756,2842,1897,2664,2208,2814,1682,2099,1970,1300,3527,6214,3983,4574,3363,3187,2894,2146,4602,2604,3681
CLUG_04064,281,626,45,954,95,359,69,579,52,966,27,419,946,62,1234,49,1157,209,601,183,793,176,1228,62
CLUG_04065,23856,18530,15033,24294,13877,17434,11215,24071,16099,22585,12929,37035,23236,12255,31793,12274,37277,26692,52142,32361,18279,27656,26829,13838
CLUG_04066,1103,2038,1466,2699,1292,1131,1054,1592,1785,1088,1585,1496,968,1822,2194,1621,2295,1498,1784,2221,1569,2185,1327,1848
CLUG_04067,951,196,1179,245,1069,146,719,150,1005,124,775,108,132,1130,117,1248,140,1349,151,1785,130,1766,280,1200
CLUG_05919,7550,540,3180,688,3957,1295,1666,1506,6431,2343,6927,1278,2270,6924,681,7689,645,5389,1441,6813,2728,13167,2392,3748
CLUG_05918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_01122,582,572,676,618,571,655,433,631,768,2449,569,730,2076,907,1441,803,1469,670,930,814,1236,979,1061,686
CLUG_01123,8334,3621,9122,4922,8188,1767,7186,1894,12777,4047,11917,2095,5215,12020,3412,13411,3933,10825,2291,12608,1889,10864,3163,11314
CLUG_01120,975,1247,1333,1287,1226,989,726,1010,1346,2958,1273,867,3673,1744,1807,1506,1873,1177,1241,1415,1749,1708,2309,1371
CLUG_01121,39,645,42,728,42,1663,35,1480,47,6453,65,1568,6584,65,2052,62,2058,60,2132,71,2346,56,3120,55
CLUG_01126,770,5078,919,5805,793,2049,608,2624,1210,2619,1003,2333,3419,1273,5411,1201,5201,1114,3706,1479,1798,1473,2294,1060
CLUG_01127,5200,28252,6070,32041,5207,10221,3476,13603,7620,13211,6549,11540,14783,7463,26370,6694,25569,6000,17280,8015,10642,8340,11523,7276
CLUG_01124,48926,32413,43448,27686,63518,10219,63025,11873,50806,5525,57541,9442,10689,96545,18460,99092,20812,39834,10931,8640,2872,11650,5738,42693
CLUG_01125,11285,12219,7113,13653,13787,3505,12325,4310,12897,3167,10480,4455,4222,18460,10750,19037,10963,8898,5701,3261,1718,4107,3061,9435
CLUG_01658,1266,151,1615,155,1368,232,1023,245,2051,755,1790,247,800,2284,199,1767,126,1631,307,2165,334,2038,357,1795
CLUG_01659,14424,1230,6258,1582,10370,265,9889,341,6027,803,3924,733,743,5273,364,5638,351,17859,687,12547,497,9929,331,7745
CLUG_01128,3561,8383,4384,8279,4835,4696,3868,5613,6086,4630,4355,6084,5039,5729,9906,4802,9529,4180,7431,5731,3985,5817,3778,5078
CLUG_01129,413,1258,528,1453,545,1339,533,1643,798,2219,603,1545,1994,918,2152,874,2086,406,2381,711,1305,799,1246,667
CLUG_03878,2014,763,3528,1260,2127,2127,1444,2333,4971,5901,5735,1751,6089,3984,1194,3542,1244,2758,2653,3954,2671,4047,3318,3841
CLUG_03879,431,151,566,178,337,1398,259,1426,736,4292,765,954,4831,826,653,751,761,610,1403,887,2354,1089,2278,843
CLUG_03872,9204,4814,9294,5606,7661,5892,7592,6745,11563,8963,10110,6533,8930,10012,5810,9876,5197,11174,7273,10933,6984,11047,4264,10369
CLUG_03873,1342,330,1127,525,1384,217,1162,202,1552,421,1044,265,341,1305,255,1228,323,1608,244,1968,449,2182,384,1429
CLUG_03870,1540,225,1659,275,1493,634,1000,562,2270,1225,2160,466,1052,2161,444,2183,505,1893,546,2241,1180,2360,942,1896
CLUG_03871,346,102,480,147,392,447,305,560,314,878,382,429,943,377,163,320,132,562,700,1028,774,709,512,508
CLUG_03876,394,532,465,688,478,208,347,327,578,297,594,195,376,716,500,644,467,429,341,584,294,579,341,553
CLUG_03877,4982,10865,7764,9503,6341,10346,4506,13328,8957,9096,7890,9617,10559,9899,8929,9153,10254,6050,10434,7592,15111,7943,8828,6941
CLUG_03874,585,193,700,287,685,135,463,122,775,229,726,169,248,791,162,700,188,601,171,937,146,942,238,721
CLUG_03875,3821,1789,4129,2757,3213,708,3132,1047,5969,1019,4405,944,1239,5613,1468,5313,1574,4642,1369,6007,1168,6166,1352,5629
CLUG_00107,766,162,1023,254,991,55,550,82,1336,21,1240,140,60,1245,136,1127,132,1011,118,1452,122,1402,109,1145
CLUG_00106,1639,347,1754,460,1474,123,1179,206,2227,48,1827,142,87,2492,287,2210,239,2201,240,2798,167,2902,266,2354
CLUG_00105,1130,676,2203,1229,1309,414,931,471,3524,520,4383,396,422,2550,954,2407,1021,1710,572,2065,634,2186,580,2336
CLUG_00104,638,242,803,396,769,68,557,69,1140,34,912,94,41,1291,300,1180,268,797,151,1004,132,1070,79,929
CLUG_00103,1910,1060,3070,1577,1680,363,1527,573,4020,251,3312,912,242,3463,556,2919,652,2766,1435,3540,676,2919,658,3521
CLUG_00102,1669,693,1945,515,2255,194,1602,264,2059,43,2112,323,93,2478,157,2206,149,1633,263,1938,185,2216,138,1604
CLUG_00101,1597,599,1868,690,1532,135,1419,245,2316,108,2075,243,127,2054,299,2057,352,2084,218,2854,223,2581,216,2103
CLUG_00100,345,546,676,592,402,1322,235,1430,775,3911,812,1209,3442,712,824,581,622,526,1274,731,2268,702,1554,555
CLUG_01456,6357,2845,5929,2388,8502,924,4648,1177,6333,972,4423,1421,1354,6549,1083,6440,901,6751,1426,9159,980,10318,904,6121
CLUG_01985,27857,5256,39915,6277,20416,3436,13213,5013,51677,906,39292,5405,1274,38304,1798,41226,1739,42023,5338,49026,6043,42660,6653,50191
CLUG_01986,30,4,13,0,11,1,2,4,27,2,12,3,5,18,1,19,0,10,1,21,1,16,2,20
CLUG_00293,913,2801,1620,4533,892,831,688,1274,1773,6716,1888,1012,5844,1900,6336,1673,6882,1198,1983,1757,2937,1859,4012,1906
CLUG_00292,917,1078,1426,1753,855,665,794,927,2086,3246,1666,965,2485,1752,2667,1545,2514,1481,1340,1945,2108,1633,1547,1843
CLUG_00291,468,281,583,295,449,491,252,581,476,3291,370,375,2888,797,1836,668,2020,672,539,1025,947,923,1186,582
CLUG_00290,921,722,1277,725,847,392,691,450,1701,1176,1179,536,1233,1736,1493,1419,1657,1475,621,2137,909,1843,1137,1503
CLUG_00297,35,633,54,768,46,65,24,113,36,119,69,103,241,60,283,56,319,46,143,77,261,76,550,55
CLUG_00296,5118,3155,7628,4151,4580,813,5546,944,9364,731,9123,1291,915,12474,1571,11597,1815,7467,1600,8849,1325,8133,2255,9209
CLUG_00295,77267,9226,86503,13652,61938,12031,38497,15410,157244,8501,105917,20017,5404,97836,5143,100698,4417,104904,20681,137789,24107,134242,20180,115347
CLUG_00294,44,98,114,115,62,8,55,32,123,94,144,39,59,83,123,91,224,91,81,103,70,82,35,68
CLUG_00529,348,519,640,754,419,142,271,228,962,271,778,232,301,763,697,667,682,493,493,871,228,787,495,738
CLUG_00528,1318,404,1148,760,1263,171,1339,237,2752,287,2263,276,583,2666,758,2655,815,1615,588,2342,434,1701,823,2006
CLUG_00299,447,847,2734,1441,565,260,758,387,1509,449,3564,328,398,1837,970,1642,1792,1157,558,1977,485,1034,478,1599
CLUG_00298,1752,1328,2636,1906,2071,322,1500,521,3170,778,2785,501,710,2984,829,2720,1036,2528,653,3728,1043,3585,1314,3055
CLUG_00839,8148,14659,10944,16574,10018,8531,7698,10258,12808,7191,11630,11591,7760,12566,18711,11825,19484,9683,15725,11447,6522,12105,6282,10749
CLUG_01981,144,194,614,451,106,97,149,123,484,191,1133,137,325,320,540,447,1154,397,268,341,118,280,199,568
CLUG_01450,3097,2649,4642,2530,3697,1456,2513,1814,4433,1529,4669,1621,1517,4432,1707,4378,1812,4002,1921,5288,1845,5253,1549,4067
CLUG_01451,1645,46640,2930,40323,1250,55083,1102,61566,3696,69141,5777,32479,89801,2782,50847,2990,58184,2495,47566,4312,99298,3872,118911,2600
CLUG_00745,463,305,908,545,450,178,394,188,1334,423,1104,154,421,1164,491,998,460,709,224,1202,367,1097,307,1220
CLUG_00744,2745,1355,3649,47,3309,45,1417,356,4283,70,5015,48,209,4174,675,4124,78,3574,426,5019,708,5432,778,4694
CLUG_00747,370,395,448,430,436,218,197,273,563,201,419,246,254,618,701,493,633,381,354,608,551,702,447,397
CLUG_00746,571,770,613,1016,616,372,292,487,892,780,577,290,757,808,900,758,906,679,497,971,1134,1175,926,736
CLUG_00741,50862,28832,33148,28881,54864,6662,50763,7014,46333,3519,35759,6815,4575,43221,24585,41434,11572,56115,5935,59454,4394,51176,3957,44798
CLUG_00740,8338,9089,5612,9744,6756,2171,7902,2802,8733,2649,6215,2113,2607,7606,9592,7225,4924,10756,2873,11759,1888,8828,2331,7836
CLUG_00743,1296,384,1726,345,1151,68,510,101,2254,356,2661,121,351,2264,137,2112,104,1764,140,2702,61,2965,161,2364
CLUG_00742,4249,555,5485,602,4427,293,3596,374,5859,171,5825,394,187,4978,194,5242,158,5581,425,7311,346,5912,415,5399
CLUG_00749,4187,2367,4980,1965,5266,609,3388,736,4087,325,3951,1126,542,4210,601,3805,513,5584,1344,7181,660,7125,513,5467
CLUG_00748,614,307,1168,538,644,179,418,257,1172,245,1227,224,374,1431,329,1353,413,1113,298,1633,281,1589,395,1410
CLUG_02608,1128,166,1377,252,1198,91,856,135,1768,67,1516,149,69,1615,168,1361,143,1399,162,2356,208,2339,158,1759
CLUG_02609,8621,783,9501,1055,7948,390,5740,586,13017,179,10668,697,218,12481,218,10926,210,10133,601,14422,569,14435,688,12671
CLUG_02606,993,418,1718,631,1101,149,766,161,2777,76,2037,198,43,2647,203,2037,178,1475,200,2073,221,2153,202,2382
CLUG_02607,2515,767,3207,1035,2736,199,2045,355,3490,136,3514,431,141,3765,914,3230,827,3316,607,4863,418,5179,477,3813
CLUG_02604,1172,400,3628,871,1406,240,911,311,6274,260,8159,302,267,5022,438,5478,462,1476,338,2294,391,2597,305,3180
CLUG_02605,2959,502,3209,549,2634,183,1850,296,4042,171,3573,359,154,4201,135,3824,154,4221,318,6308,285,5003,280,3821
CLUG_02602,402,280,698,333,412,76,413,90,835,50,734,159,30,790,549,724,495,595,200,717,164,844,261,815
CLUG_02603,1601,108,2631,143,2002,79,1194,154,3351,86,3223,91,85,2504,45,2488,48,1908,122,2774,172,2695,140,2538
CLUG_02600,25160,13398,29952,16748,29662,3771,17254,5351,46625,1832,38784,5713,1800,36755,10065,32979,7485,30750,6853,45589,5991,46490,5043,34746
CLUG_02601,3189,366,2793,552,4095,115,4419,171,3362,56,2326,172,71,3717,197,3687,126,4137,95,4306,143,4315,112,3577
CLUG_03519,0,41,2,5,0,103,0,4,18,40,192,0,681,48,2,154,67,3,0,14,0,32,15,11
CLUG_03518,898,114,1105,143,1069,189,586,184,1358,309,1249,197,564,1471,76,1232,112,1140,230,1688,177,1815,360,1259
CLUG_03511,3426,1706,5417,1971,3605,645,3488,963,5603,696,5840,1095,849,5191,1092,4199,1172,5041,1294,6233,784,5669,1110,5749
CLUG_03510,1047,547,1356,771,1089,331,801,417,1608,230,1614,488,312,1737,430,1390,521,1430,626,1938,539,2225,723,1742
CLUG_03513,1197,204,1269,221,1271,510,796,520,1326,1148,1145,512,1261,1546,442,1359,753,1452,729,2054,594,2126,704,1516
CLUG_03512,1602,105,1795,211,1609,308,1283,409,1889,743,1577,416,1025,2189,436,2021,523,2021,534,3007,267,3150,454,2259
CLUG_03515,3425,950,3808,1037,3333,1462,2325,1246,4626,5455,4779,1293,5475,4702,1285,4331,949,4164,1657,5923,1933,6720,2970,4906
CLUG_03514,2908,489,2493,368,1132,769,382,875,950,2031,792,1046,1980,1505,664,1437,1010,2449,1003,4745,1063,5823,1142,1916
CLUG_03517,2704,317,2248,485,2149,285,1671,343,2711,648,2101,440,943,2960,302,2541,179,3102,532,3396,366,4148,698,3106
CLUG_03516,227,73,459,87,254,123,126,125,448,229,339,130,364,513,77,512,68,306,139,445,165,513,242,413
CLUG_02348,48112,3732,22942,3856,38630,5545,7963,6970,18833,11988,11633,6172,13494,9396,7001,9581,7391,53576,7593,68545,14851,74106,15781,42389
CLUG_02347,912,1226,1142,1493,821,1635,715,1691,1631,3899,1124,1811,4166,1357,2798,1112,3016,1143,2638,1672,3444,1695,3982,1429
CLUG_04529,1622,567,2439,708,1655,507,1189,600,2725,2659,2021,619,2478,3361,947,2961,980,2132,842,2439,1869,2683,1465,2660
CLUG_04528,1593,660,2027,805,1701,654,1154,788,2167,3531,1971,615,3241,2307,1189,2042,1536,2138,1047,2908,2322,3004,2074,2192
CLUG_04525,1663,592,2194,687,1279,502,1131,502,2440,1558,1955,499,1674,2647,645,2195,753,2211,715,2809,796,2753,1263,2507
CLUG_04524,3514,4407,3640,4796,3674,1848,3464,2293,4350,3307,3341,1927,2967,5233,4223,5054,4480,4099,2155,5105,3893,5434,2901,4099
CLUG_04527,1312,558,1665,693,1346,772,984,870,2099,4004,1522,722,3843,2096,1142,1699,1434,1972,1091,2849,1784,2775,2188,2087
CLUG_04526,1331,547,1770,770,1180,365,1037,450,1778,1196,1413,479,894,2117,779,1705,724,1630,549,2068,1408,2143,990,2011
CLUG_04521,1984,3186,3743,3927,3078,587,2439,882,4036,690,3281,600,509,4572,2364,4073,2259,2587,886,4465,1775,5126,1348,4092
CLUG_04520,980,2254,1584,2346,1816,1346,2034,1684,1456,364,1292,848,301,3557,1627,2855,1119,1228,737,988,274,811,228,1591
CLUG_04523,5549,2748,6589,3391,4830,744,4390,948,8069,3585,7510,1511,2591,8528,3761,7624,3838,7081,2257,8619,1685,8322,2273,7964
CLUG_04522,527,222,720,250,546,103,492,197,1016,142,974,160,98,988,176,949,258,589,161,825,214,804,197,849
CLUG_05218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_05219,4124,534,3522,448,2357,422,1601,501,2579,591,3237,665,854,5185,533,5621,659,6444,860,4165,316,4399,541,2664
CLUG_05214,659,76,572,100,424,146,361,133,560,260,499,224,319,1276,252,1148,296,1159,363,958,157,753,163,584
CLUG_05215,3022,279,1722,330,2178,244,1130,263,2588,303,1477,419,318,5296,709,5331,595,3411,422,2512,303,3318,221,2258
CLUG_05216,542303,38145,202802,30414,347495,24362,132179,31287,365307,4425,213693,65537,7824,524379,26514,466052,12721,501256,59805,343789,34749,465792,28180,251241
CLUG_05217,6992,179,4459,253,4279,251,2793,296,5305,260,4325,703,408,12303,419,10299,268,10172,813,8058,372,8123,407,5348
CLUG_05210,8292,239,5309,471,5539,647,3863,883,7238,1573,6598,1404,2031,11762,1010,12314,1145,14285,2123,14416,843,9840,981,6272
CLUG_05211,1247,403,1158,594,723,180,789,191,1612,0,1319,379,275,2568,838,2485,948,1951,433,1665,254,1394,248,1356
CLUG_05212,10485,2687,9958,5401,6551,762,9552,1008,13599,1295,13152,2655,871,25878,9723,21589,13211,23079,5433,15807,1627,7990,1486,10908
CLUG_05213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_04297,9199,1859,11186,2629,8719,1174,7910,1911,14091,6939,13104,1648,7119,15117,3058,14150,3250,11723,2566,15207,2074,16491,2748,13080
CLUG_04296,1800,6004,2788,5944,2051,7338,1883,9468,3460,14121,3675,6388,12574,3094,5793,3602,6429,2111,9702,2406,11609,2442,9122,2498
CLUG_04295,5650,1790,8171,2116,5498,1708,4185,2011,8368,2242,8499,1778,3064,8979,1332,8893,1380,8249,2468,11549,2204,11263,3810,9569
CLUG_04294,943,535,1237,704,724,684,596,826,1037,892,1343,678,1112,1460,543,1521,585,1274,855,1674,864,1895,1399,1487
CLUG_04293,4709,3067,6215,3543,4353,1281,3248,1616,6569,1469,5981,1767,1931,9146,1775,8522,2398,6211,2030,7941,1257,9393,2285,6832
CLUG_02343,441,458,949,605,475,1768,535,1337,1088,4215,1048,1537,3794,1211,2458,1094,2633,870,1777,1366,3009,1092,2676,1111
CLUG_04291,325,403,1004,635,515,307,362,294,1683,861,2162,317,671,1289,352,1379,536,463,362,638,618,869,444,941
CLUG_04290,2807,865,3084,930,2660,977,1907,1115,3612,1129,3125,1433,1398,3285,384,3418,370,3272,1361,4118,1135,4201,979,3042
CLUG_04299,662,138,251,258,839,26,590,39,4231,156,695,32,122,2697,168,315,197,1099,54,198,50,1544,53,264
CLUG_04298,69,1292,2125,2135,77,343,67,485,50,1643,5318,502,1850,55,1675,2390,2220,62,679,1068,789,75,840,1908
CLUG_02341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_02646,6123,112,4034,222,5414,159,2089,250,1750,242,1217,265,232,2835,105,2412,89,5403,238,8911,289,10787,223,5645
CLUG_00190,910,3262,3423,5298,1242,1125,1422,1630,3888,3379,5272,1487,2255,3489,5278,3791,5719,1920,3023,3569,2126,2161,2243,3120
CLUG_00191,2740,474,2406,754,2815,160,3405,203,2267,188,2138,273,273,3330,145,2832,175,3141,200,4103,215,3904,201,2476
CLUG_00192,1842,798,2645,1044,2189,334,1504,500,2790,719,3202,482,781,3108,613,3394,822,2601,623,3017,431,3322,602,2675
CLUG_00193,1744,230,1871,297,1696,243,1035,318,2125,755,1589,311,643,2055,266,1899,413,2227,321,3633,394,3559,346,2046
CLUG_00194,182,148,210,174,261,139,169,95,240,484,166,137,561,263,336,265,349,177,177,239,173,339,239,109
CLUG_00195,2922,282,3184,355,2420,461,1739,548,4078,2615,3475,531,1796,3305,1017,4166,1140,3407,661,4046,667,5041,931,3731
CLUG_00196,5847,8141,10862,6682,5989,1467,4016,2225,10587,2227,14730,2141,2104,10761,8949,12462,10399,6950,3262,8142,3273,9958,4246,9606
CLUG_00197,2347,1092,2653,1041,1205,327,1271,384,3316,498,3962,330,608,4104,1294,4200,1176,2701,509,3076,212,3839,442,3382
